user_id,month,total_income,total_expenses,savings,savings_ratio,debt_ratio,expense_ratio,predicted_financial_health
user_183,2024-01,88571.33,37467.03,51104.3,0.577,26.471,0.423,Needs Improvement
user_183,2024-02,92958.73,45624.6,47334.14,0.509,25.801,0.491,Needs Improvement
user_183,2024-03,89709.64,44039.04,45670.6,0.509,24.913,0.491,Needs Improvement
user_183,2024-04,80529.39,43993.61,36535.78,0.454,23.491,0.546,Needs Improvement
user_183,2024-05,93781.82,37617.74,56164.08,0.599,22.508,0.401,Needs Improvement
user_183,2024-06,84389.75,38080.47,46309.28,0.549,23.558,0.451,Needs Improvement
user_183,2024-07,82880.87,45051.39,37829.48,0.456,22.407,0.544,Needs Improvement
user_183,2024-08,93739.83,49047.57,44692.26,0.477,25.038,0.523,Needs Improvement
user_183,2024-09,84224.85,48129.9,36094.95,0.429,26.321,0.571,Needs Improvement
user_183,2024-10,85676.72,36702.56,48974.16,0.572,25.974,0.428,Needs Improvement
user_183,2024-11,80999.24,43179.12,37820.12,0.467,22.578,0.533,Needs Improvement
user_183,2024-12,82175.44,49078.89,33096.55,0.403,25.814,0.597,Needs Improvement
user_166,2024-01,245775.7,144175.28,101600.42,0.413,31.257,0.587,Good
user_166,2024-02,221189.2,129099.57,92089.64,0.416,33.259,0.584,Good
user_166,2024-03,216646.86,129469.32,87177.54,0.402,31.888,0.598,Good
user_166,2024-04,220866.93,144560.69,76306.24,0.345,28.78,0.655,Good
user_166,2024-05,208628.2,140938.87,67689.34,0.324,29.897,0.676,Good
user_166,2024-06,229681.19,163242.46,66438.73,0.289,29.144,0.711,Good
user_166,2024-07,211899.65,140571.02,71328.63,0.337,31.423,0.663,Good
user_166,2024-08,208551.7,147483.48,61068.21,0.293,34.118,0.707,Good
user_166,2024-09,207331.13,162981.53,44349.6,0.214,34.324,0.786,Good
user_166,2024-10,207261.55,133624.09,73637.45,0.355,33.698,0.645,Good
user_166,2024-11,219696.91,158826.7,60870.21,0.277,32.6,0.723,Good
user_166,2024-12,239088.78,147239.75,91849.03,0.384,33.219,0.616,Good
user_79,2024-01,170230.5,106680.08,63550.43,0.373,53.517,0.627,Needs Improvement
user_79,2024-02,149570.72,111487.85,38082.87,0.255,48.548,0.745,Needs Improvement
user_79,2024-03,158544.45,105499.49,53044.97,0.335,45.841,0.665,Needs Improvement
user_79,2024-04,174588.32,92977.89,81610.43,0.467,47.292,0.533,Needs Improvement
user_79,2024-05,153145.17,100757.92,52387.26,0.342,47.783,0.658,Needs Improvement
user_79,2024-06,155293.43,113824.44,41468.99,0.267,50.362,0.733,Needs Improvement
user_79,2024-07,160331.09,111525.2,48805.89,0.304,48.562,0.696,Needs Improvement
user_79,2024-08,170354.69,116021.93,54332.76,0.319,54.602,0.681,Needs Improvement
user_79,2024-09,156890.18,106433.47,50456.7,0.322,53.498,0.678,Needs Improvement
user_79,2024-10,162328.92,99749.99,62578.93,0.386,49.703,0.614,Needs Improvement
user_79,2024-11,170757.92,99828.83,70929.08,0.415,51.398,0.585,Needs Improvement
user_79,2024-12,145138.02,101720.39,43417.64,0.299,52.558,0.701,Needs Improvement
user_187,2024-01,189176.79,122263.33,66913.46,0.354,6.165,0.646,Needs Improvement
user_187,2024-02,159613.84,136112.66,23501.18,0.147,5.353,0.853,Needs Improvement
user_187,2024-03,182129.06,121678.39,60450.67,0.332,5.362,0.668,Needs Improvement
user_187,2024-04,156821.29,121686.56,35134.74,0.224,6.265,0.776,Needs Improvement
user_187,2024-05,164450.47,124801.4,39649.07,0.241,5.666,0.759,Needs Improvement
user_187,2024-06,175004.66,104816.81,70187.85,0.401,6.016,0.599,Needs Improvement
user_187,2024-07,159822.01,117065.24,42756.77,0.268,5.962,0.732,Needs Improvement
user_187,2024-08,165899.12,114105.68,51793.45,0.312,6.174,0.688,Needs Improvement
user_187,2024-09,181945.37,103318.02,78627.34,0.432,5.932,0.568,Needs Improvement
user_187,2024-10,155866.88,128824.51,27042.36,0.173,5.752,0.827,Needs Improvement
user_187,2024-11,178255.58,128298.25,49957.32,0.28,5.558,0.72,Needs Improvement
user_187,2024-12,172252.22,103650.74,68601.47,0.398,5.412,0.602,Needs Improvement
user_178,2024-01,117628.5,86005.03,31623.47,0.269,24.489,0.731,Needs Improvement
user_178,2024-02,112365.93,83506.87,28859.06,0.257,23.381,0.743,Needs Improvement
user_178,2024-03,113211.09,78897.0,34314.08,0.303,21.735,0.697,Needs Improvement
user_178,2024-04,115130.22,82159.94,32970.29,0.286,24.834,0.714,Needs Improvement
user_178,2024-05,120169.39,89951.16,30218.23,0.251,24.206,0.749,Needs Improvement
user_178,2024-06,126197.74,76368.87,49828.87,0.395,20.977,0.605,Needs Improvement
user_178,2024-07,118678.08,97856.63,20821.44,0.175,20.836,0.825,Needs Improvement
user_178,2024-08,113416.47,77494.65,35921.81,0.317,22.528,0.683,Needs Improvement
user_178,2024-09,117180.52,76488.7,40691.82,0.347,20.788,0.653,Needs Improvement
user_178,2024-10,131049.62,83024.5,48025.12,0.366,24.929,0.634,Needs Improvement
user_178,2024-11,118584.39,83760.43,34823.95,0.294,22.556,0.706,Needs Improvement
user_178,2024-12,127678.84,94920.92,32757.92,0.257,24.812,0.743,Needs Improvement
user_57,2024-01,152242.52,127876.25,24366.26,0.16,21.759,0.84,Good
user_57,2024-02,159856.2,98412.17,61444.04,0.384,22.67,0.616,Good
user_57,2024-03,166953.1,120652.19,46300.91,0.277,18.902,0.723,Good
user_57,2024-04,146824.64,108704.94,38119.7,0.26,21.726,0.74,Good
user_57,2024-05,143789.99,124756.98,19033.01,0.132,19.474,0.868,Good
user_57,2024-06,146978.29,130436.32,16541.97,0.113,18.616,0.887,Good
user_57,2024-07,141749.12,99804.52,41944.6,0.296,21.079,0.704,Good
user_57,2024-08,143563.8,118489.13,25074.67,0.175,21.095,0.825,Good
user_57,2024-09,141234.52,118615.45,22619.07,0.16,22.26,0.84,Good
user_57,2024-10,156440.69,124693.17,31747.52,0.203,19.336,0.797,Good
user_57,2024-11,152544.27,116002.29,36541.97,0.24,20.378,0.76,Good
user_57,2024-12,170017.23,102905.76,67111.46,0.395,19.373,0.605,Good
user_153,2024-01,204403.37,165372.62,39030.75,0.191,18.256,0.809,Needs Improvement
user_153,2024-02,197370.81,136720.1,60650.72,0.307,16.302,0.693,Needs Improvement
user_153,2024-03,191268.3,145993.29,45275.01,0.237,16.191,0.763,Needs Improvement
user_153,2024-04,203618.42,157006.58,46611.84,0.229,15.415,0.771,Needs Improvement
user_153,2024-05,201735.69,155363.99,46371.7,0.23,18.243,0.77,Needs Improvement
user_153,2024-06,206352.92,152196.28,54156.64,0.262,17.579,0.738,Needs Improvement
user_153,2024-07,209575.67,162537.41,47038.26,0.224,16.354,0.776,Needs Improvement
user_153,2024-08,200171.2,147750.85,52420.35,0.262,18.62,0.738,Needs Improvement
user_153,2024-09,223893.99,152498.8,71395.19,0.319,15.361,0.681,Needs Improvement
user_153,2024-10,196995.05,165388.32,31606.72,0.16,18.146,0.84,Needs Improvement
user_153,2024-11,221206.6,138584.45,82622.15,0.374,15.585,0.626,Needs Improvement
user_153,2024-12,224625.65,130135.83,94489.82,0.421,18.435,0.579,Needs Improvement
user_83,2024-01,59186.97,29488.29,29698.68,0.502,28.891,0.498,Moderate
user_83,2024-02,65062.38,23999.0,41063.38,0.631,28.003,0.369,Moderate
user_83,2024-03,55858.96,29003.33,26855.63,0.481,25.824,0.519,Moderate
user_83,2024-04,62674.67,24644.81,38029.85,0.607,27.072,0.393,Moderate
user_83,2024-05,62896.13,28701.25,34194.88,0.544,30.019,0.456,Moderate
user_83,2024-06,57697.99,27477.02,30220.98,0.524,27.574,0.476,Moderate
user_83,2024-07,55062.33,24335.76,30726.57,0.558,28.317,0.442,Moderate
user_83,2024-08,57531.92,26957.22,30574.7,0.531,29.529,0.469,Moderate
user_83,2024-09,57333.29,27492.98,29840.31,0.52,25.68,0.48,Moderate
user_83,2024-10,56463.78,27217.56,29246.22,0.518,26.083,0.482,Moderate
user_83,2024-11,60113.46,31926.54,28186.92,0.469,29.142,0.531,Moderate
user_83,2024-12,65743.43,27790.23,37953.2,0.577,27.017,0.423,Moderate
user_69,2024-01,177672.59,138859.69,38812.9,0.218,23.835,0.782,Moderate
user_69,2024-02,179692.71,119521.71,60171.0,0.335,22.615,0.665,Moderate
user_69,2024-03,166146.23,129638.85,36507.39,0.22,22.346,0.78,Moderate
user_69,2024-04,172317.73,116303.11,56014.63,0.325,25.405,0.675,Moderate
user_69,2024-05,186201.04,138257.29,47943.75,0.257,26.172,0.743,Moderate
user_69,2024-06,178425.76,143526.14,34899.61,0.196,24.146,0.804,Moderate
user_69,2024-07,164803.62,138646.35,26157.26,0.159,23.449,0.841,Moderate
user_69,2024-08,198000.89,109411.25,88589.64,0.447,22.185,0.553,Moderate
user_69,2024-09,196720.94,130596.68,66124.26,0.336,25.203,0.664,Moderate
user_69,2024-10,196640.95,127311.53,69329.41,0.353,25.284,0.647,Moderate
user_69,2024-11,194222.31,128781.32,65440.99,0.337,26.031,0.663,Moderate
user_69,2024-12,179630.06,116518.36,63111.7,0.351,22.163,0.649,Moderate
user_125,2024-01,95855.5,56655.75,39199.75,0.409,29.583,0.591,Moderate
user_125,2024-02,104781.14,49129.62,55651.52,0.531,29.365,0.469,Moderate
user_125,2024-03,98621.99,57882.37,40739.62,0.413,31.105,0.587,Moderate
user_125,2024-04,93103.37,60793.55,32309.82,0.347,29.926,0.653,Moderate
user_125,2024-05,103399.7,60238.59,43161.11,0.417,29.904,0.583,Moderate
user_125,2024-06,98647.14,60922.23,37724.9,0.382,28.785,0.618,Moderate
user_125,2024-07,101903.35,52947.45,48955.89,0.48,30.556,0.52,Moderate
user_125,2024-08,104997.14,49280.38,55716.77,0.531,29.118,0.469,Moderate
user_125,2024-09,94547.83,51314.94,43232.89,0.457,29.535,0.543,Moderate
user_125,2024-10,100082.73,58221.63,41861.09,0.418,32.681,0.582,Moderate
user_125,2024-11,90031.29,47883.74,42147.54,0.468,32.293,0.532,Moderate
user_125,2024-12,104560.55,46075.58,58484.97,0.559,31.851,0.441,Moderate
user_17,2024-01,119040.8,60446.06,58594.74,0.492,23.425,0.508,Good
user_17,2024-02,123928.48,73658.42,50270.06,0.406,21.513,0.594,Good
user_17,2024-03,122172.41,71246.86,50925.55,0.417,19.978,0.583,Good
user_17,2024-04,115281.91,74790.25,40491.67,0.351,19.243,0.649,Good
user_17,2024-05,109998.3,71112.03,38886.26,0.354,21.559,0.646,Good
user_17,2024-06,130887.08,66019.7,64867.38,0.496,20.498,0.504,Good
user_17,2024-07,121235.71,77357.18,43878.53,0.362,21.269,0.638,Good
user_17,2024-08,107453.25,67568.98,39884.28,0.371,19.628,0.629,Good
user_17,2024-09,127540.82,70613.36,56927.46,0.446,22.103,0.554,Good
user_17,2024-10,112690.31,58578.96,54111.35,0.48,22.684,0.52,Good
user_17,2024-11,107719.43,78160.68,29558.76,0.274,22.856,0.726,Good
user_17,2024-12,119345.27,59098.48,60246.79,0.505,21.472,0.495,Good
user_149,2024-01,250441.5,173050.03,77391.47,0.309,15.786,0.691,Needs Improvement
user_149,2024-02,228136.14,190303.68,37832.46,0.166,15.391,0.834,Needs Improvement
user_149,2024-03,258758.38,165391.63,93366.75,0.361,13.824,0.639,Needs Improvement
user_149,2024-04,254938.11,158726.58,96211.53,0.377,14.254,0.623,Needs Improvement
user_149,2024-05,244650.41,167607.32,77043.08,0.315,14.497,0.685,Needs Improvement
user_149,2024-06,252902.31,158725.12,94177.2,0.372,14.047,0.628,Needs Improvement
user_149,2024-07,226250.33,149835.44,76414.89,0.338,14.348,0.662,Needs Improvement
user_149,2024-08,233413.32,178874.27,54539.06,0.234,15.255,0.766,Needs Improvement
user_149,2024-09,256658.89,175440.06,81218.83,0.316,14.741,0.684,Needs Improvement
user_149,2024-10,249162.93,164190.04,84972.88,0.341,14.053,0.659,Needs Improvement
user_149,2024-11,220082.44,194642.37,25440.08,0.116,14.362,0.884,Needs Improvement
user_149,2024-12,222732.64,178851.31,43881.33,0.197,14.148,0.803,Needs Improvement
user_94,2024-01,84255.98,59160.39,25095.59,0.298,20.965,0.702,Moderate
user_94,2024-02,87458.39,50278.25,37180.14,0.425,24.229,0.575,Moderate
user_94,2024-03,76180.67,49516.64,26664.04,0.35,22.744,0.65,Moderate
user_94,2024-04,74856.69,55851.46,19005.22,0.254,24.364,0.746,Moderate
user_94,2024-05,82077.27,56267.86,25809.4,0.314,21.289,0.686,Moderate
user_94,2024-06,81247.84,63327.35,17920.49,0.221,22.111,0.779,Moderate
user_94,2024-07,81070.21,50955.18,30115.03,0.371,23.484,0.629,Moderate
user_94,2024-08,82505.11,63924.82,18580.29,0.225,24.466,0.775,Moderate
user_94,2024-09,73958.98,61709.89,12249.09,0.166,25.281,0.834,Moderate
user_94,2024-10,73006.01,54490.85,18515.16,0.254,22.11,0.746,Moderate
user_94,2024-11,85329.94,58146.01,27183.93,0.319,23.703,0.681,Moderate
user_94,2024-12,84397.73,62899.63,21498.1,0.255,25.3,0.745,Moderate
user_66,2024-01,186179.4,149854.77,36324.63,0.195,15.441,0.805,Good
user_66,2024-02,206776.68,128987.4,77789.28,0.376,15.423,0.624,Good
user_66,2024-03,203045.98,121478.37,81567.6,0.402,14.65,0.598,Good
user_66,2024-04,207624.68,135820.07,71804.61,0.346,13.493,0.654,Good
user_66,2024-05,183664.49,141680.42,41984.06,0.229,15.543,0.771,Good
user_66,2024-06,204602.6,127081.05,77521.56,0.379,14.875,0.621,Good
user_66,2024-07,180902.07,153626.72,27275.35,0.151,16.302,0.849,Good
user_66,2024-08,200077.34,117781.06,82296.28,0.411,15.514,0.589,Good
user_66,2024-09,190148.71,134027.18,56121.53,0.295,14.906,0.705,Good
user_66,2024-10,191159.99,143587.44,47572.55,0.249,13.656,0.751,Good
user_66,2024-11,174833.72,127160.22,47673.5,0.273,15.283,0.727,Good
user_66,2024-12,190064.36,119179.81,70884.56,0.373,14.849,0.627,Good
user_61,2024-01,69112.89,53821.12,15291.77,0.221,13.51,0.779,Good
user_61,2024-02,72185.13,64348.15,7836.98,0.109,11.906,0.891,Good
user_61,2024-03,66165.71,61763.58,4402.12,0.067,11.504,0.933,Good
user_61,2024-04,76087.15,60119.51,15967.64,0.21,12.608,0.79,Good
user_61,2024-05,73598.91,64817.69,8781.22,0.119,13.358,0.881,Good
user_61,2024-06,73639.62,55195.87,18443.75,0.25,13.592,0.75,Good
user_61,2024-07,67692.78,56252.05,11440.73,0.169,11.445,0.831,Good
user_61,2024-08,65270.54,57265.65,8004.89,0.123,11.998,0.877,Good
user_61,2024-09,72951.22,58855.36,14095.86,0.193,11.599,0.807,Good
user_61,2024-10,71305.43,64231.14,7074.29,0.099,11.511,0.901,Good
user_61,2024-11,71569.73,56582.04,14987.69,0.209,12.472,0.791,Good
user_61,2024-12,77744.43,50924.96,26819.47,0.345,13.305,0.655,Good
user_85,2024-01,184021.29,156592.7,27428.59,0.149,19.413,0.851,Moderate
user_85,2024-02,220329.82,146129.52,74200.3,0.337,16.807,0.663,Moderate
user_85,2024-03,211301.31,142584.47,68716.84,0.325,19.764,0.675,Moderate
user_85,2024-04,197530.15,122033.38,75496.77,0.382,16.746,0.618,Moderate
user_85,2024-05,193150.5,127194.13,65956.37,0.341,16.707,0.659,Moderate
user_85,2024-06,222231.54,134101.01,88130.53,0.397,18.145,0.603,Moderate
user_85,2024-07,219394.62,157429.49,61965.13,0.282,17.67,0.718,Moderate
user_85,2024-08,216071.58,163357.26,52714.31,0.244,16.872,0.756,Moderate
user_85,2024-09,210373.29,147613.22,62760.07,0.298,18.563,0.702,Moderate
user_85,2024-10,212159.88,158659.09,53500.78,0.252,16.409,0.748,Moderate
user_85,2024-11,193621.42,134335.76,59285.66,0.306,19.353,0.694,Moderate
user_85,2024-12,192510.81,163426.04,29084.77,0.151,18.389,0.849,Moderate
user_68,2024-01,122213.66,72359.19,49854.46,0.408,30.385,0.592,Moderate
user_68,2024-02,104234.79,58696.56,45538.22,0.437,30.061,0.563,Moderate
user_68,2024-03,102443.05,67763.25,34679.8,0.339,27.634,0.661,Moderate
user_68,2024-04,102763.44,55053.97,47709.47,0.464,28.332,0.536,Moderate
user_68,2024-05,105888.97,64392.38,41496.59,0.392,29.859,0.608,Moderate
user_68,2024-06,106563.72,66350.57,40213.15,0.377,27.616,0.623,Moderate
user_68,2024-07,112831.82,73658.33,39173.49,0.347,25.658,0.653,Moderate
user_68,2024-08,120939.89,55940.36,64999.53,0.537,26.528,0.463,Moderate
user_68,2024-09,106907.1,68617.0,38290.1,0.358,28.573,0.642,Moderate
user_68,2024-10,121436.81,58811.45,62625.36,0.516,26.058,0.484,Moderate
user_68,2024-11,107625.52,73606.46,34019.06,0.316,27.804,0.684,Moderate
user_68,2024-12,120149.22,66500.11,53649.11,0.447,27.794,0.553,Moderate
user_126,2024-01,39216.07,12714.43,26501.63,0.676,46.783,0.324,Moderate
